id,assists,backgroundColor,competicion,competitionLogo,faseCompeticion,fecha,goals,kitManufacturer,kitNumber,kitSleeve,localCrest,localTeam,marcadorLocal,marcadorVisitante,minutos,playerKit,rating,tarjetaAmarilla,tarjetaRoja,visitCrest,visitTeam
509,1,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 15",2024-12-02,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",2,0,90,RMA_2324_first_ss,8.5,0,0,granada,Granada
510,0,"linear-gradient(270deg, #00519D 0%, #000741 100%)","Champions League",UCL_ball,"Jornada 05",2024-11-29,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",4,2,90,RMA_2324_first_ss,7.8,0,0,napoli,"SSC Napoli"
511,1,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 14",2024-11-26,0,Adidas,"1a equipación","Manga corta",cadiz,Cadiz,0,3,90,RMA_2324_first_ss,7.8,0,0,rma,"Real Madrid"
512,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 13",2024-11-11,1,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",5,1,90,RMA_2324_first_ss,8.5,0,0,valencia,Valencia
552,0,"linear-gradient(270deg, #00519D 0%, #000741 100%)","Champions League",UCL_ball,"Jornada 04",2024-11-08,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",3,0,90,RMA_2324_first_ss,7.9,0,0,braga,Braga
553,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 12",2024-11-05,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",0,0,18,RMA_2324_first_ss,7.1,0,0,rayo,"Rayo Vallecano"
554,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 11",2024-10-28,0,Adidas,"1a equipación","Manga corta",barcelona,Barcelona,2,3,63,RMA_2324_first_ss,7.4,0,0,rma,"Real Madrid"
555,0,"linear-gradient(270deg, #00519D 0%, #000741 100%)","Champions League",UCL_ball,"Jornada 03",2024-10-24,0,Adidas,"3a equipación","Manga corta",braga,Braga,1,2,0,RMA_2324_third_ss_bench,0,0,0,rma,"Real Madrid"
556,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 10",2024-10-21,0,Adidas,"3a equipación","Manga corta",sevilla,Sevilla,1,1,90,RMA_2324_third_ss,7.7,0,0,rma,"Real Madrid"
557,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 09",2024-10-07,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",4,0,23,RMA_2324_first_ss,6.4,0,0,osasuna,Osasuna
558,0,"linear-gradient(270deg, #00519D 0%, #000741 100%)","Champions League",UCL_ball,"Jornada 02",2024-10-03,0,Adidas,"3a equipación","Manga corta",napoli,"SSC Napoli",2,3,65,RMA_2324_third_ss,7.2,0,0,rma,"Real Madrid"
559,1,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 08",2024-09-30,0,Adidas,"2a equipación","Manga corta",girona,Girona,0,3,90,RMA_2324_second_ss,8.3,0,0,rma,"Real Madrid"
560,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 07",2024-09-27,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",2,0,13,RMA_2324_first_ss,6.3,0,0,las-palmas,"Las Palmas"
561,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 06",2024-09-27,1,Adidas,"1a equipación","Manga corta",atletico,"Atletico Madrid",3,1,70,RMA_2324_first_ss,8.2,0,0,rma,"Real Madrid"
562,0,"linear-gradient(270deg, #00519D 0%, #000741 100%)","Champions League",UCL_ball,"Jornada 01",2024-09-20,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",1,0,24,RMA_2324_first_ss,6.9,0,0,uberlin,"Union Berlin"
563,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 05",2024-09-17,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",2,1,90,RMA_2324_first_ss,7.6,0,0,real-sociedad,"Real Sociedad"
564,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 04",2024-09-02,0,Adidas,"1a equipación","Manga corta",rma,"Real Madrid",2,1,45,RMA_2324_first_ss,8.3,1,0,getafe,Getafe
565,0,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 03",2024-08-25,0,Adidas,"2a equipación","Manga corta",celta,"Celta Vigo",0,1,28,RMA_2324_second_ss,6.2,1,0,rma,"Real Madrid"
566,1,"linear-gradient(270deg, #FFB800 0%, #E50000 100%)",LaLiga,laliga_logo,"Jornada 03",2024-08-19,0,Adidas,"2a equipación","Manga corta",celta,Almeria,1,3,72,RMA_2324_second_ss,8.3,0,0,rma,"Real Madrid"
